P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-1863 b,Transit,Kepler,2021,05-12-2021,5.74,,,0,M-R relationship,2.263,,,0,44.997601,,,0,0.2555,,,0,0,,,0,86.35,,,0,,,,0,Kepler-1863,,,,282.23972,43.244085,18h48m57.53s,+43d14m38.71s,13.64,-0.092,0.092,865.546,-11.6365,11.6365,5871,-88,70,0,1.1,-0.08,0.05,0,0.98,-0.05,0.14,0,0.21,-0.15,0.15,0,4.7,-1.4,1.4,0,0.41,,,0,4.49,-0.11,0.02,0,1.5926255,2.536456,1.1208378,0.49528848,0.004432845,0.2555,0.2555,0.2555,0.2555,39.374785,39.374785,39.374785,638.12279,638.12279,638.12279,720.65942,720.65942,720.65942,Superterran,G,18 48 57.53,+43 14 38.71,2.5703958,1.1964394,2.8120267,1.5154349,2.666057,1.6023544,2.666057,1.4628403,2.666057,4.3287626,2.4569905,0.47793853,0,0,Hot,0,0.27432687,Lyra,Lyr,Lyre
HIP 54373 b,Radial Velocity,Las Campanas Observatory,2019,20-05-2019,8.62,-1.84,1.84,0,Msini,2.87,,,0,7.76,-0.003,0.003,0,0.063,-0.001,0.001,0,0.2,-0.11,0.11,0,,,,0,72.34,-44.58,44.58,0,HIP 54373,,HIP 54373,K5 V,166.86435,-19.291686,11h07m27.44s,-19d17m30.07s,10.38,-0.1,0.1,18.7168,-0.0164,0.0164,4021,-146,226,0,0.57,-0.03,0.03,0,0.56,-0.02,0.02,0,,,,0,,,,0,-1.222,-0.001,0.001,0,4.68,-0.01,0.01,0,1.7330564,3.0034843,1.0465102,0.36463771,0.001246694,0.06426,0.0504,0.0756,0.063319214,15.423512,10.494371,23.612335,500.99334,458.49944,561.54484,565.79325,517.80307,634.17666,Superterran,K,11 07 27.44,-19 17 30.07,0.059979108,0.19854758,0.50201498,0.25149135,0.47595127,0.26646221,0.47595127,0.24277816,0.47595127,0.66124708,0.082207727,0.38250996,0,0,Hot,0,0.29121143,Crater,Crt,Cup
HD 109246 b,Radial Velocity,Haute-Provence Observatory,2010,04-09-2018,273.3338,-79.4575,79.4575,0,Msini,13.9,,,0,68.27,-0.13,0.13,0,0.33,-0.01,0.01,0,0.12,-0.04,0.04,0,,,,0,235,-29,29,0,HD 109246,HD 109246,HIP 61177,G0 V,188.02718,74.489338,12h32m06.52s,+74d29m21.62s,8.751,-0.01,0.01,67.8349,-0.1232,0.1236,5844,-21,21,0,1.2,-0.53,0.53,0,1.07,-0.02,0.02,0,0.1,,,0,,,,0,0.1,-0.001,0.001,0,4.46,-0.19,0.19,0,4.434445,19.664302,1.414698,0.10177683,0.017739957,0.332376,0.2904,0.3696,0.33059683,11.644525,9.2158644,14.928177,469.2998,443.84745,500.72745,,501.25595,565.49298,Jovian,G,12 32 06.52,+74 29 21.62,1.2589254,0.8386897,1.9725388,1.0623025,1.8701462,1.1232586,1.8701462,1.0254385,1.8701462,3.0294498,2.4146516,0.49024316,0,0,Hot,0,0.1461158,Draco,Dra,Dragon
HIP 5158 c,Radial Velocity,La Silla Observatory,2011,08-09-2015,4780.1632,-3353.1065,3353.1065,0,Msini,12.2,,,0,9017.76,-3180.74,3180.74,0,7.7,-1.88,1.88,0,0.14,-0.1,0.1,0,,,,0,142.09,-75.63,75.63,0,HIP 5158,,HIP 5158,,16.509489,-22.453613,01h06m02.28s,-22d27m13.01s,10.16,-0.03,0.03,51.6026,-0.1039,0.1043,4813,-128.99,207.69,0,0.78,-0.07,0.12,0,0.75,-0.09,0.05,0,0.17,-0.11,0.11,0,6,,,1,-0.561,-0.02,0.019,0,4.58,-0.1,0.13,1,19.794359,391.81666,32.116119,2.6324688,1.2121521,7.77546,6.622,8.778,7.7189875,0.004680766,0.003566226,0.006266451,66.384936,62.251801,71.672924,,70.303627,80.943305,Jovian,K,01 06 02.28,-22 27 13.01,0.27478942,0.4140997,1.0089274,0.52452001,0.95655286,0.55520943,0.95655286,0.50636991,0.95655286,1.4153497,0.35583171,0.44389636,0,0,Cold,0,0.077672111,Cetus,Cet,Whale
HIP 57274 c,Radial Velocity,W. M. Keck Observatory,2011,24-04-2015,130,-3,3,0,Msini,14.2,,,0,32.03,-0.02,0.02,0,0.178,,,0,0.05,-0.02,0.02,0,,,,0,356.2,-120,120,0,HIP 57274,,HIP 57274,K4 V,176.17055,30.957648,11h44m40.93s,+30d57m27.53s,8.97,-0.03,0.03,25.8618,-0.0335,0.0337,4640,-100,100,0,0.73,-0.05,0.05,0,0.68,-0.03,0.03,0,0.09,-0.05,0.05,0,7.87,-5,5,0,0.19,-0.01,0.01,0,4.71,-0.1,0.1,0,3.0257114,9.1549296,0.64471335,0.045402349,0.00951632,0.1782225,0.1691,0.1869,0.17805567,48.94446,44.338541,54.164256,673.47551,657.34757,691.07933,,742.37078,780.46551,Jovian,K,11 44 40.93,+30 57 27.53,1.5488166,0.99010825,2.430623,1.2541248,2.3044445,1.3277761,2.3044445,1.2107291,2.3044445,3.3601895,0.25856853,0.45428484,0,0,Hot,0,0.084666819,Ursa Major,UMa,Big Bear
HIP 71135 b,Radial Velocity,Las Campanas Observatory,2019,20-05-2019,18.8,-4.1,4.1,0,Msini,4.55,,,0,87.19,-0.381,0.381,0,0.335,-0.007,0.007,0,0.21,-0.13,0.13,0,,,,0,115.6,-71.72,71.72,0,HIP 71135,,HIP 71135,M1,218.21581,-52.646476,14h32m51.79s,-52d38m47.31s,10.53,-0.03,0.03,32.3311,-0.0519,0.0521,4146,-110,107,0,0.66,-0.04,0.04,0,0.68,-0.03,0.04,0,,,,0,,,,0,-0.908,-0.001,0.001,0,4.54,-0.1,0.12,0,2.0326997,4.1318681,0.90810289,0.19958305,0.008084661,0.34238675,0.26465,0.40535,0.33687398,1.1264299,0.75221094,1.7646403,260.23516,237.2382,293.60521,,267.92327,331.58095,Neptunian,M,14 32 51.79,-52 38 47.31,0.12359474,0.28416021,0.71405448,0.35993334,0.67698324,0.38130138,0.67698324,0.34746833,0.67698324,0.94921319,0.1070041,0.40166665,1,0,Warm,0,0.54575672,Lupus,Lup,Wolf
OGLE-2014-BLG-0124L b,Microlensing,OGLE,2015,10-07-2023,206.58846,-13.98445,13.98445,0,Mass,14.1,,,0,,,,0,3.48,-0.22,0.22,0,,,,0,,,,0,,,,0,OGLE-2014-BLG-0124L,,,,270.62171,-28.39625,18h02m29.21s,-28d23m46.5s,,,,3500,-200,200,,,,0,0.9,-0.05,0.05,0,,,,0,,,,0,,,,0,,,,0,,,,0,3.8277492,14.651664,1.0391251,0.073696815,0.21313381,3.48,3.48,3.48,3.48,,,,,,,,,,Jovian,,18 02 29.21,-28 23 46.50,,,,,,,,,,,,0.44541547,0,0,,0,,Sagittarius,Sgr,Archer
HR 810 b,Radial Velocity,La Silla Observatory,1999,04-09-2018,721.4741,-79.4575,79.4575,0,Msini,13.3,,,0,302.79999,-2.3,2.3,0,0.92,-0.02,0.02,0,0.14,-0.13,0.13,0,,,,0,309,-5,5,0,HR 810,HD 17051,HIP 12653,G0V,40.641718,-50.799348,02h42m34.01s,-50d47m57.65s,5.4,-0.03,0.03,17.3181,-0.0162,0.0162,6167,-24,24,0,1.34,-0.13,0.13,0,1.13,-0.02,0.02,0,0.16,,,0,2.72,,,0,0.253,-0.001,0.001,0,4.46,-0.04,0.04,0,7.3652001,54.246173,4.0786596,0.30666614,0.064383835,0.929016,0.7912,1.0488,0.92226863,2.1365974,1.627851,2.8604044,306.84637,287.74207,331.28866,,324.95946,374.13848,Jovian,G,02 42 34.01,-50 47 57.65,1.7906059,0.98074256,2.2897784,1.2422186,2.1709184,1.3131457,2.1709184,1.1990502,2.1709184,3.6129651,4.3634007,0.46596639,0,0,Hot,0,0.34001897,Horologium,Hor,Pendulum Clock
HR 8799 c,Imaging,Gemini Observatory,2008,04-08-2016,3000,-1000,1000,0,Mass,13,0,1,0,69000,,,0,38,,,0,0.5,,,1,29.43,-0.35,0.35,0,,,,0,HR 8799,HD 218396,HIP 114189,A5 V,346.87015,21.134038,23h07m28.84s,+21d08m02.54s,5.98,-0.01,0.01,41.2441,-0.1505,0.1515,7204.58,-129.54,83.84,0,1.5,-0.3,0.3,0,1.49,-0.05,0.05,0,-0.47,,,0,0.06,-0.03,0.1,0,0.692,-0.038,0.035,0,4.3,-0.07,0.09,0,15.191091,230.76923,17.751479,1.3654984,2.3945037,42.75,19,57,39.298307,0.003934614,0.001514434,0.013629904,60.521933,50.253033,87.040807,,56.752905,98.298914,Jovian,A,23 07 28.84,+21 08 02.54,4.9203954,1.5381696,3.5447931,1.9482136,3.3607937,2.0579622,3.3607937,1.8802633,3.3607937,5.9891303,26.934629,0.25622045,0,0,Cold,0,0.072886608,Pegasus,Peg,Winged Horse
K2-119 b,Transit,K2,2017,05-09-2019,6.94,,,0,M-R relationship,2.53,-0.2,0.2,0,7.727283,-0.001149,0.001268,0,0.0698,-0.0006,0.0006,0,0.07,-0.057297,0.151978,0,89.4,-0.51,0.42,0,-37.71,-104.6704,135.3593,0,K2-119,,,,132.00987,16.901766,08h48m02.37s,+16d54m06.36s,14.818,-0.172,0.172,365.581,-4.27,4.37,4740,-100,100,0,0.76,-0.02,0.02,0,0.71,-0.01,0.01,0,-0.05,-0.12,0.12,0,,,,0,-0.685,,,0,4.62,-0.01,0.01,0,1.6562255,2.743083,1.0842225,0.42854646,0.001357185,0.06997101,0.064914,0.074686,0.069842821,42.496757,37.027262,49.014351,649.81364,628.39122,674.03201,,709.66914,761.21324,Neptunian,K,08 48 02.37,+16 54 06.36,0.20653802,0.36011802,0.88016302,0.4561445,0.83447249,0.48287489,0.83447249,0.4403609,0.83447249,1.2270543,0.31118432,0.42100668,0,0,Hot,0,0.2590503,Cancer,Cnc,Crab
K2-122 b,Transit,K2,2017,20-09-2021,1.65,,,0,M-R relationship,1.16,-0.05,0.1,0,2.2193023,-2.00E-06,2.0000000e-06,0,0.0373,-0.0095,0.0038,0,0.21,-0.167694,0.182563,0,86.39,-0.63,1.41,0,60.8,-117.8492,74.063,0,K2-122,,,M0,126.47622,20.359338,08h25m54.29s,+20d21m33.62s,13.105,-0.063,0.063,72.0444,-0.2532,0.2532,4009,-44,47,0,0.63,-0.02,0.02,0,0.59,-0.01,0.01,0,0.32,-0.07,0.06,0,,,,0,-1.102,-0.105,0.085,0,4.69,-0.01,0.01,0,1.1926499,1.4224138,1.2262188,1.0570852,0.00040629,0.038122465,0.029467,0.045133,0.037508655,58.126759,38.816073,91.060106,697.48354,635.84697,786.92211,787.69806,718.08924,888.70487,Terran,M,08 25 54.29,+20 21 33.62,0.079067863,0.22802411,0.57688858,0.28882793,0.54693747,0.30602583,0.54693747,0.27882072,0.54693747,0.75921322,0.083262182,0.39548618,0,0,Hot,0,0.31480665,Cancer,Cnc,Crab
K2-118 b,Transit,K2,2017,05-09-2019,6.99,,,0,M-R relationship,2.54,-0.2,0.23,0,50.92092,-0.005249,0.005584,0,0.245,-0.008,0.008,0,0.2,-0.159064,0.183774,0,89.5,-0.12,0.24,0,58.67,-123.4359,75.8575,0,K2-118,,,,132.12686,15.655896,08h48m30.45s,+15d39m21.23s,14,-0.08,0.08,321.722,-3.7605,3.7605,4726.29,-127.34,142.64,0,0.76,-0.08,0.08,0,0.73,-0.04,0.05,0,0.129,-0.079,0.079,0,,,,0,-0.561,-0.012,0.012,0,4.53,,,0,1.6589058,2.7519685,1.0834522,0.42655597,0.004107673,0.2499,0.196,0.294,0.24624139,4.6723161,3.1791084,7.1529939,371.67999,340.15436,416.60231,,384.1509,470.48685,Neptunian,K,08 48 30.45,+15 39 21.23,0.27478942,0.4156137,1.0164069,0.52643834,0.96364367,0.55729708,0.96364367,0.50822246,0.96364367,1.4153497,0.30394039,0.42100668,0,0,Hot,0,0.44846138,Cancer,Cnc,Crab
K2-124 b,Transit,K2,2017,05-09-2019,8.75,,,0,M-R relationship,2.9,-0.1,0.1,0,6.413651,-3.10E-05,3.6000000e-05,0,0.049,-0.002,0.002,0,0.08,-0.06663,0.15519,0,89.03,-0.27,0.32,0,-26.8,-110.8238,137.5335,0,K2-124,,,,133.64105,23.132951,08h54m33.85s,+23d07m58.62s,16.692,-0.183,0.183,140.385,-1.296,1.32,3570,-70,63,0,0.39,-0.04,0.01,0,0.39,-0.01,0.02,0,0.023,-0.106,0.061,0,,,,0,-1.659,-0.121,0.094,0,4.86,-0.09,0.01,0,1.7370208,3.0172414,1.0404281,0.3587683,0.001271795,0.0491568,0.04508,0.05292,0.049039283,9.1622481,7.8299742,10.790267,442.66752,426.12773,461.69775,,481.24431,521.41506,Neptunian,M,08 54 33.85,+23 07 58.62,0.021928049,0.12100646,0.31292582,0.1532724,0.29667673,0.16248252,0.29667673,0.1479507,0.29667673,0.39981931,0.033379259,0.33705905,0,0,Hot,0,0.33574739,Cancer,Cnc,Crab
K2-137 b,Transit,K2,2017,28-03-2022,158.915,,,1,Mass,0.64,-0.1,0.1,0,0.179719,-2.80E-05,2.8000000e-05,0,0.0058,-0.0006,0.0006,0,0,,,0,93.1,-20,10,0,,,,0,K2-137,,,M3 V,186.87043,-6.1952168,12h27m28.90s,-06d11m42.78s,15.94,-0.2,0.2,98.8765,-0.6101,0.6176,3697,-109,109,0,0.46,-0.05,0.05,0,0.29,-0.06,0.06,0,-0.059,-0.18,0.18,0,,,,0,-1.484,-0.006,0.006,0,5,-0.06,0.06,0,15.757687,248.30469,387.97607,606.21262,0.000407082,0.0058,0.0058,0.0058,0.0058,975.313,975.313,975.313,1423.5926,1423.5926,1423.5926,1607.7241,1607.7241,1607.7241,Subterran,M,12 27 28.90,-06 11 42.78,0.032809529,0.14774486,0.3796613,0.187141,0.35994789,0.1983576,0.35994789,0.18064786,0.35994789,0.48906183,0.043866341,0.35612604,0,0,Hot,0,0.27747224,Virgo,Vir,Virgin
HIP 65407 c,Radial Velocity,Haute-Provence Observatory,2016,24-02-2016,249.17872,-17.16282,17.16282,0,Msini,13.9,,,0,67.3,-0.08,0.08,0,0.316,-0.008,0.008,0,0.12,-0.04,0.04,0,,,,0,-19,-25,25,0,HIP 65407,,HIP 65407,K0,201.08766,48.884732,13h24m21.04s,+48d53m05.04s,9.38,-0.03,0.03,61.7804,-0.1062,0.1065,5460,-50,50,0,0.93,-0.07,0.07,0,0.95,-0.03,0.01,0,0.25,-0.04,0.04,0,,,,0,-0.186,-0.001,0.001,0,4.47,-0.08,0.08,0,4.2339729,17.926527,1.2896782,0.092782602,0.017932094,0.3182752,0.27808,0.35392,0.31657151,6.5731794,5.2022329,8.4267574,406.78394,384.72212,434.02509,,434.48318,490.16313,Jovian,K,13 24 21.04,+48 53 05.04,0.65162839,0.61719152,1.4677127,0.78175616,1.3915247,0.82691199,1.3915247,0.75466789,1.3915247,2.1795346,1.1466893,0.45031054,0,0,Hot,0,0.19653111,Canes Venatici,CVn,Hunting Dogs
HIP 67522 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,07-08-2023,72.4,,,0,M-R relationship,10.07,-0.47,0.47,0,6.959503,-1.50E-05,1.6000000e-05,0,0.076210536,,,0,0.059,-0.046,0.193,0,89.34,-0.54,0.45,0,-17,-149,92,0,HIP 67522,HD 120411,HIP 67522,G1 V,207.526,-40.835896,13h50m06.24s,-40d50m09.23s,9.79,-0.03,0.03,127.28,-1.087,1.105,5675,-75,75,0,1.22,-0.05,0.05,0,1.38,-0.06,0.06,0,0,,,0,0.017,-0.002,0.002,0,0.243,-0.023,0.022,0,4.44,,,0,2.6813564,7.1896723,0.71396944,0.07090064,0.002798011,0.076343181,0.071714115,0.080706958,0.076243735,301.80552,268.64456,340.24419,1061.0788,1031.3219,1094.0757,,1164.716,1235.5866,Jovian,G,13 50 06.24,-40 50 09.23,1.7498467,0.99885341,2.359934,1.2651752,2.2374318,1.3379768,2.2374318,1.2213015,2.2374318,3.5716078,1.8161571,0.19382937,0,0,Hot,0,0.08946776,Centaurus,Cen,Centaur
TOI-2570 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,07-08-2023,260.61929,-20.65885,20.02319,0,Mass,13.641,-0.381,0.392,0,2.9887615,-2.20E-06,2.2000000e-06,0,0.04145,-0.00086,0.00081,0,0,-0.052,0.048,0,87.73,-0.57,0.75,0,,,,0,TOI-2570,,,,87.18804,32.084043,05h48m45.13s,+32d05m02.56s,12.569,-0.057,0.057,361.857,-6.138,6.349,5771,-87,89,0,1.06,-0.07,0.06,0,1.09,-0.03,0.03,0,0.191,-0.083,0.083,0,4.4,-2.6,3.3,0,0.079,-0.03,0.03,0,4.38,-0.03,0.03,0,4.3709936,19.105585,1.4006001,0.10267576,0.002597427,0.04145,0.04145,0.04145,0.04145,698.15352,698.15352,698.15352,1309.4455,1309.4455,1309.4455,,1478.813,1478.813,Jovian,G,05 48 45.13,+32 05 02.56,1.1994993,0.82226809,1.9375993,1.0415047,1.8370203,1.1013388,1.8370203,1.0053734,1.8370203,2.9570847,2.0437577,0.46691258,0,0,Hot,0,0.067331293,Auriga,Aur,Charioteer
TOI-2589 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,07-08-2023,1112.3994,-31.78284,31.78284,0,Mass,12.106,-0.336,0.336,0,61.6277,-0.0002,0.0002,0,0.3,-0.005,0.006,0,0.522,-0.006,0.006,0,89.17,-0.01,0.01,0,218,-1,1,0,TOI-2589,,,,107.48815,-37.230948,07h09m57.16s,-37d13m51.41s,11.415,-0.012,0.012,200.273,-0.826,0.832,5579,-70,70,0,0.93,-0.02,0.03,0,1.07,-0.01,0.01,0,0.12,-0.04,0.04,0,11,-2,2,0,-0.004,-0.013,0.017,0,4.35,-0.01,0.02,0,9.585837,91.888272,7.5903083,0.6269873,0.015226275,0.3408726,0.1434,0.4566,0.31127085,12.907324,4.7525663,48.183872,455.54416,376.12461,671.15856,,424.77365,757.96813,Jovian,G,07 09 57.16,-37 13 51.41,0.99083194,0.75587729,1.7908807,0.95741742,1.6979175,1.0126017,1.6979175,0.92422836,1.6979175,2.6875946,1.4068046,0.5207364,0,0,Hot,0,0.14819416,Puppis,Pup,Stern
GJ 687 c,Radial Velocity,Multiple Observatories,2020,08-09-2020,16,-4.1,4.1,0,Msini,4.14,,,0,727.562,-12.198,12.198,0,1.165,-0.023,0.023,0,0.4,-0.22,0.22,0,,,,0,176,-63,63,0,GJ 687,,HIP 86162,M3.0V,264.10417,68.333674,17h36m25.00s,+68d20m01.23s,9.15,-0.1,0.1,4.54939,-0.00068,0.00068,3413,-28,28,0,0.4,-0.02,0.02,0,0.42,-0.01,0.01,0,0.063,-0.078,0.078,0,,,,0,-1.672,-0.005,0.005,0,4.82,0,0,0,1.9658927,3.8647343,0.9335107,0.22548568,0.023911992,1.2582,0.699,1.631,1.1896246,0.017108365,0.008000039,0.043555765,89.206138,76.185571,116.37538,,86.039631,131.42771,Neptunian,M,17 36 25.00,+68 20 01.23,0.02128139,0.11944045,0.31127761,0.15128819,0.29511293,0.16040668,0.29511293,0.14603049,0.29511293,0.39387985,0.025704035,0.33991562,0,0,Cold,0,0.19159356,Draco,Dra,Dragon
Kepler-1872 b,Transit,Kepler,2021,05-12-2021,6.28,,,0,M-R relationship,2.384,,,0,3.8259101,,,0,0.0465,,,0,0,,,0,81.86,,,0,,,,0,Kepler-1872,,,,281.0492,43.3226,18h44m11.81s,+43d19m21.36s,15.966,-1.133,1.133,840.182,-21.244,22.353,5223,-183,183,0,0.91,-0.08,0.06,0,0.89,-0.08,0.15,0,0.32,-0.3,0.1,0,,,,0,-0.506,,,0,4.5,-0.12,0.05,0,1.6230306,2.6342282,1.1049615,0.46349056,0.000885546,0.0465,0.0465,0.0465,0.0465,144.24278,144.24278,144.24278,882.82217,882.82217,882.82217,997.00892,997.00892,997.00892,Superterran,K,18 44 11.81,+43 19 21.36,0.31188896,0.43256054,1.0370083,0.54789927,0.9831775,0.57968921,0.9831775,0.52892765,0.9831775,1.5078695,0.75764997,0.44705908,0,0,Hot,0,0.24504406,Lyra,Lyr,Lyre
K2-149 b,Transit,K2,2018,01-02-2018,3.33,,,0,M-R relationship,1.64,-0.18,0.2,0,11.332,-0.0013,0.0013,0,0.083,-0.0027,0.0027,0,,,,0,,,,0,,,,0,K2-149,,,M1.0 V,9.8217519,7.2769939,00h39m17.22s,+07d16m37.18s,14.543,-0.176,0.176,123.676,-0.539,0.543,3745,-70,70,0,0.59,-0.06,0.06,0,0.57,-0.06,0.06,0,0.11,-0.12,0.12,0,,,,0,-1.31,-0.11,0.088,0,4.71,-0.05,0.05,0,1.4249519,2.0304878,1.2381023,0.75494044,0.00147818,0.083,0.083,0.083,0.083,7.1095779,7.1095779,7.1095779,415.96871,415.96871,415.96871,469.77129,469.77129,469.77129,Superterran,M,00 39 17.22,+07 16 37.18,0.048977882,0.18037636,0.46240334,0.22847388,0.43839409,0.24215432,0.43839409,0.22054857,0.43839409,0.59753557,0.051757879,0.38693243,0,0,Hot,0,0.4403805,Pisces,Psc,Fishes
Kepler-107 e,Transit,Kepler,2014,17-04-2023,14.1,-3.3,3.3,0,Mass,2.903,-0.035,0.035,0,14.749143,-1.90E-05,1.9000000e-05,0,0.12638,-0.00099,0.00099,0,0.1,,,1,89.67,-0.22,0.22,0,,,,0,Kepler-107,,,,297.02816,48.208602,19h48m06.76s,+48d12m30.97s,12.543,-0.057,0.057,525.997,-5.577,5.697,5854,-61,61,0,1.24,-0.03,0.03,0,1.45,-0.01,0.01,0,0.321,-0.065,0.065,0,4.29,-0.56,0.7,0,0.364,-0.019,0.015,0,4.21,-0.01,0.01,0,2.2038703,4.8570444,1.6731121,0.576339,0.002558421,0.1270119,0.113742,0.139018,0.1265385,145.48751,119.63491,178.71388,883.05626,842.48891,931.40653,,951.45883,1051.8773,Neptunian,G,19 48 06.76,+48 12 30.97,2.3120648,1.1358953,2.6708683,1.4387492,2.5322261,1.5212928,2.5322261,1.3888196,2.5322261,4.1054783,2.4834903,0.48990095,0,0,Hot,0,0.22198703,Cygnus,Cyg,Swan
K2-133 b,Transit,K2,2017,20-05-2019,2.36,,,0,M-R relationship,1.34,-0.076,0.077,0,3.07133,-0.00011,0.00011,0,0.03194,-0.00026,0.00025,0,,,,0,87.6,-0.15,0.18,0,,,,0,K2-133,,,M1.5 V,70.149377,25.009813,04h40m35.85s,+25d00m35.33s,14.073,-0.014,0.014,75.1703,-0.2012,0.2012,3655,-80,80,0,0.46,-0.01,0.01,0,0.46,-0.02,0.02,0,,,,0,,,,0,-1.479,-0.017,0.017,0,4.77,-0.01,0.01,0,1.3270999,1.761194,1.3143239,0.98083873,0.000551025,0.03194,0.03194,0.03194,0.03194,32.533454,32.533454,32.533454,608.39026,608.39026,608.39026,687.0812,687.0812,687.0812,Terran,M,04 40 35.85,+25 00 35.33,0.033189446,0.14869237,0.38289843,0.188341,0.36301661,0.19963916,0.36301661,0.18180477,0.36301661,0.49188521,0.040812618,0.35612604,0,0,Hot,0,0.32717569,Taurus,Tau,Bull
K2-133 c,Transit,K2,2017,20-05-2019,3.2,,,0,M-R relationship,1.603,-0.088,0.09,0,4.86784,-0.00012,0.00012,0,0.04341,-0.00035,0.00034,0,,,,0,88.21,-0.08,0.11,0,,,,0,K2-133,,,M1.5 V,70.149377,25.009813,04h40m35.85s,+25d00m35.33s,14.073,-0.014,0.014,75.1703,-0.2012,0.2012,3655,-80,80,0,0.46,-0.01,0.01,0,0.46,-0.02,0.02,0,,,,0,,,,0,-1.479,-0.017,0.017,0,4.77,-0.01,0.01,0,1.4128896,1.996257,1.2453257,0.7768719,0.000828907,0.04341,0.04341,0.04341,0.04341,17.612477,17.612477,17.612477,521.86097,521.86097,521.86097,589.35996,589.35996,589.35996,Superterran,M,04 40 35.85,+25 00 35.33,0.033189446,0.14869237,0.38289843,0.188341,0.36301661,0.19963916,0.36301661,0.18180477,0.36301661,0.49188521,0.040812618,0.35612604,0,0,Hot,0,0.34796423,Taurus,Tau,Bull
K2-271 b,Transit,K2,2018,22-01-2024,41.8,,,0,M-R relationship,7.28,-0.23,0.23,0,8.562421,-0.000127,0.000127,0,0.077,-0.0009,0.0008,0,,,,0,,,,0,,,,0,K2-271,,,,125.22391,16.090796,08h20m53.74s,+16d05m26.86s,13.845,-0.103,0.103,564.454,-13.7,13.7,5644,-71,71,0,0.83,-0.03,0.03,0,0.99,-0.03,0.03,0,-0.3,-0.05,0.05,0,,,,0,-0.05,,,0,4.37,-0.03,0.03,0,2.3961966,5.7417582,0.78870306,0.10833833,0.0028443,0.077,0.077,0.077,0.077,150.32062,150.32062,150.32062,891.97842,891.97842,891.97842,,1007.3495,1007.3495,Neptunian,G,08 20 53.74,+16 05 26.86,0.89125094,0.71416317,1.6888108,0.90457947,1.601146,0.95665915,1.601146,0.87321431,1.601146,2.5489644,1.5144787,0.43355463,0,0,Hot,0,0.11994508,Cancer,Cnc,Crab
